№,Name:,Image Url:,Price:
1,Сотовый телефон Xiaomi Redmi Note 13 8/256GB голубой,https://www.kivano.kg/images/product/132096/1705999822_48551100.jpg,16700 сом
2,Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB зеленый,https://www.kivano.kg/images/product/118784/1679158987_31384800.jpg,"89350 сом
-1%

88450 сом"
3,Сотовый телефон Samsung Galaxy Z Flip 5 8/512GB кремовый,https://www.kivano.kg/images/product/128256/1697901834_63832900.jpg,66090 сом
4,Сотовый телефон Xiaomi Redmi Note 13 NFC 6/128GB черный,https://www.kivano.kg/images/product/132097/1706000565_39704500.jpg,15980 сом
5,Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB кремовый,https://www.kivano.kg/images/product/118785/1679159066_25158800.jpg,"89350 сом
-1%

88450 сом"
6,Сотовый телефон Samsung Galaxy Z Flip 5 8/512GB лавандовый,https://www.kivano.kg/images/product/128257/1697901941_07758200.jpg,66090 сом
7,Сотовый телефон Xiaomi Redmi Note 13 NFC 6/128GB голубой,https://www.kivano.kg/images/product/132098/1706000570_08880700.jpg,15980 сом
8,Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB графит,https://www.kivano.kg/images/product/118786/1679159154_75202700.jpg,"89350 сом
-1%

88450 сом"
9,Сотовый телефон Xiaomi Redmi Note 13 NFC 6/128GB зеленый,https://www.kivano.kg/images/product/132099/1706000572_51000900.jpg,15980 сом
10,Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB голубой,https://www.kivano.kg/images/product/118787/1679159225_02657600.jpg,"89350 сом
-1%

88450 сом"
11,Сотовый телефон Xiaomi Redmi Note 13 NFC 8/128GB черный,https://www.kivano.kg/images/product/132100/1706000895_70350700.jpg,16880 сом
12,Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB лайм,https://www.kivano.kg/images/product/118788/1679159303_34858200.jpg,"89350 сом
-1%

88450 сом"
13,Сотовый телефон Xiaomi Redmi Note 13 NFC 8/128GB голубой,https://www.kivano.kg/images/product/132101/1706000899_76601800.jpg,16880 сом
14,Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB красный,https://www.kivano.kg/images/product/118789/1679159390_27278700.jpg,"89350 сом
-1%

88450 сом"
15,Сотовый телефон Xiaomi Redmi Note 13 NFC 8/128GB зеленый,https://www.kivano.kg/images/product/132102/1706000903_30183900.jpg,16880 сом
16,Сотовый телефон Xiaomi Redmi Note 13 NFC 8/256GB черный,https://www.kivano.kg/images/product/132103/1706001200_47075400.jpg,17600 сом
17,Сотовый телефон Xiaomi Redmi Note 13 NFC 8/256GB голубой,https://www.kivano.kg/images/product/132104/1706001203_22579000.jpg,17600 сом
18,Сотовый телефон Xiaomi Redmi Note 13 NFC 8/256GB зеленый,https://www.kivano.kg/images/product/132105/1706001206_21431300.jpg,17600 сом
19,Сотовый телефон Xiaomi Redmi Note 13 Pro 8/256GB черный,https://www.kivano.kg/images/product/132106/1706001917_61615100.jpg,23080 сом
20,Сотовый телефон Apple iPhone 13 128GB зеленый,https://www.kivano.kg/images/product/105482/1650357323_84906500.png,"58730 сом
-3%

56930 сом"
